RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20
1,919,4606,117555,0,Townsend VA Church of England,VA,104,96,1,4,91,35,53,2,1,7,1,92%,1%,4%,88%,34%,51%,2%,1%,7%,1%,25,20,SUPP,SUPP,16,SUPP,11,0,SUPP,SUPP,SUPP,80%,SUPP,SUPP,64%,SUPP,44%,0%,SUPP,SUPP,SUPP,79,76,SUPP,SUPP,75,SUPP,42,2,SUPP,SUPP,SUPP,96%,SUPP,SUPP,95%,SUPP,53%,3%,SUPP,SUPP,SUPP,110,98%,22,SUPP,88,SUPP,87,97%,21,SUPP,66,SUPP
1,919,4614,138356,0,St George's School,ACC,183,181,1,1,179,23,143,5,8,2,0,99%,1%,1%,98%,13%,78%,3%,4%,1%,0%,7,7,SUPP,SUPP,SUPP,5,0,SUPP,0,0,0,100%,SUPP,SUPP,SUPP,71%,0%,SUPP,0%,0%,0%,176,174,SUPP,SUPP,SUPP,18,143,SUPP,8,2,0,99%,SUPP,SUPP,SUPP,10%,81%,SUPP,5%,1%,0%,193,97%,13,100%,180,97%,187,96%,10,80%,177,97%
1,919,4619,117557,0,John F Kennedy Catholic School,VA,179,175,3,4,168,44,114,7,3,2,2,98%,2%,2%,94%,25%,64%,4%,2%,1%,1%,21,20,0,2,18,5,12,1,0,SUPP,SUPP,95%,0%,10%,86%,24%,57%,5%,0%,SUPP,SUPP,158,155,3,2,150,39,102,6,3,SUPP,SUPP,98%,2%,1%,95%,25%,65%,4%,2%,SUPP,SUPP,178,97%,29,86%,149,99%,179,97%,21,90%,158,97%
1,919,4620,138106,0,Loreto College,ACC,156,151,0,2,149,22,115,9,3,4,1,97%,0%,1%,96%,14%,74%,6%,2%,3%,1%,17,15,0,SUPP,SUPP,SUPP,9,0,0,SUPP,SUPP,88%,0%,SUPP,SUPP,SUPP,53%,0%,0%,SUPP,SUPP,139,136,0,SUPP,SUPP,SUPP,106,9,3,SUPP,SUPP,98%,0%,SUPP,SUPP,SUPP,76%,6%,2%,SUPP,SUPP,149,99%,16,SUPP,133,SUPP,147,97%,14,93%,133,98%
1,919,4802,136922,0,Yavneh College,ACC,176,170,0,0,170,24,144,0,2,4,2,97%,0%,0%,97%,14%,82%,0%,1%,2%,1%,9,8,0,0,8,4,4,0,0,1,0,89%,0%,0%,89%,44%,44%,0%,0%,11%,0%,167,162,0,0,162,20,140,0,2,3,2,97%,0%,0%,97%,12%,84%,0%,1%,2%,1%,148,99%,5,SUPP,143,SUPP,148,97%,11,100%,137,97%
1,919,5400,136606,0,Rickmansworth School,ACC,219,215,0,3,212,47,163,0,2,4,0,98%,0%,1%,97%,21%,74%,0%,1%,2%,0%,14,14,0,1,13,6,7,0,0,0,0,100%,0%,7%,93%,43%,50%,0%,0%,0%,0%,205,201,0,2,199,41,156,0,2,4,0,98%,0%,1%,97%,20%,76%,0%,1%,2%,0%,196,98%,15,SUPP,181,SUPP,193,99%,13,SUPP,180,SUPP
1,919,5401,136276,0,Watford Grammar School for Boys,ACC,189,187,0,0,187,20,164,2,1,2,0,99%,0%,0%,99%,11%,87%,1%,1%,1%,0%,12,SUPP,0,0,SUPP,5,5,SUPP,SUPP,SUPP,0,SUPP,0%,0%,SUPP,42%,42%,SUPP,SUPP,SUPP,0%,177,SUPP,0,0,SUPP,15,159,SUPP,SUPP,SUPP,0,SUPP,0%,0%,SUPP,8%,90%,SUPP,SUPP,SUPP,0%,190,99%,12,SUPP,178,SUPP,190,96%,11,91%,179,96%
1,919,5403,136289,0,Watford Grammar School for Girls,ACC,179,177,1,2,174,12,159,3,0,1,1,99%,1%,1%,97%,7%,89%,2%,0%,1%,1%,11,SUPP,SUPP,SUPP,10,1,9,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,91%,9%,82%,0%,0%,SUPP,SUPP,168,SUPP,SUPP,SUPP,164,11,150,3,0,SUPP,SUPP,SUPP,SUPP,SUPP,98%,7%,89%,2%,0%,SUPP,SUPP,181,99%,20,95%,161,99%,179,99%,11,SUPP,168,SUPP
1,919,5404,136899,0,Parmiter's School,ACC,207,205,4,5,196,40,148,2,6,2,0,99%,2%,2%,95%,19%,71%,1%,3%,1%,0%,10,SUPP,SUPP,0,9,6,3,0,0,SUPP,0,SUPP,SUPP,0%,90%,60%,30%,0%,0%,SUPP,0%,197,SUPP,SUPP,5,187,34,145,2,6,SUPP,0,SUPP,SUPP,3%,95%,17%,74%,1%,3%,SUPP,0%,208,98%,16,100%,192,97%,205,99%,15,100%,190,99%
1,919,5405,117577,0,The Bishop's Stortford High School,FD,167,166,4,4,158,25,131,2,0,1,0,99%,2%,2%,95%,15%,78%,1%,0%,1%,0%,9,SUPP,0,0,SUPP,SUPP,8,0,0,SUPP,0,SUPP,0%,0%,SUPP,SUPP,89%,0%,0%,SUPP,0%,158,SUPP,4,4,SUPP,SUPP,123,2,0,SUPP,0,SUPP,3%,3%,SUPP,SUPP,78%,1%,0%,SUPP,0%,180,97%,13,100%,167,97%,156,98%,4,SUPP,152,99%
1,919,5406,117578,0,Ashlyns School,FD,198,194,3,4,187,60,121,1,5,4,0,98%,2%,2%,94%,30%,61%,1%,3%,2%,0%,19,19,0,2,17,SUPP,6,SUPP,0,0,0,100%,0%,11%,89%,SUPP,32%,SUPP,0%,0%,0%,179,175,3,2,170,SUPP,115,SUPP,5,4,0,98%,2%,1%,95%,SUPP,64%,SUPP,3%,2%,0%,207,98%,28,SUPP,179,SUPP,207,95%,25,76%,182,98%
1,919,5407,136554,0,Dame Alice Owen's School,ACC,199,195,2,0,193,10,175,2,6,4,0,98%,1%,0%,97%,5%,88%,1%,3%,2%,0%,17,16,0,0,16,3,13,0,0,1,0,94%,0%,0%,94%,18%,76%,0%,0%,6%,0%,182,179,2,0,177,7,162,2,6,3,0,98%,1%,0%,97%,4%,89%,1%,3%,2%,0%,202,99%,20,95%,182,99%,221,99%,10,SUPP,211,SUPP
1,919,5408,137872,0,Bushey Meads School,ACC,190,183,1,1,181,47,125,6,3,6,1,96%,1%,1%,95%,25%,66%,3%,2%,3%,1%,24,20,SUPP,SUPP,SUPP,SUPP,9,0,0,SUPP,SUPP,83%,SUPP,SUPP,SUPP,SUPP,38%,0%,0%,SUPP,SUPP,166,163,SUPP,SUPP,SUPP,SUPP,116,6,3,SUPP,SUPP,98%,SUPP,SUPP,SUPP,SUPP,70%,4%,2%,SUPP,SUPP,198,96%,33,91%,165,97%,166,97%,24,92%,142,98%
1,919,5410,136877,0,Queens' School,ACC,266,257,2,3,252,71,179,1,1,8,1,97%,1%,1%,95%,27%,67%,SP,SP,3%,SP,21,19,0,0,19,SUPP,9,SUPP,SUPP,SUPP,SUPP,90%,0%,0%,90%,SUPP,43%,SUPP,SUPP,SUPP,SUPP,245,238,2,3,233,SUPP,170,SUPP,SUPP,SUPP,SUPP,97%,1%,1%,95%,SUPP,69%,SUPP,SUPP,SUPP,SUPP,263,98%,40,SUPP,223,SUPP,258,97%,44,86%,214,99%
1,919,5411,137224,0,Mount Grace School,ACC,108,101,2,5,94,42,51,1,0,6,1,94%,2%,5%,87%,39%,47%,1%,0%,6%,1%,28,22,SUPP,SUPP,20,SUPP,6,SUPP,0,SUPP,SUPP,79%,SUPP,SUPP,71%,SUPP,21%,SUPP,0%,SUPP,SUPP,80,79,SUPP,SUPP,74,SUPP,45,SUPP,0,SUPP,SUPP,99%,SUPP,SUPP,93%,SUPP,56%,SUPP,0%,SUPP,SUPP,77,92%,17,88%,60,93%,111,94%,23,83%,88,97%
1,919,5412,137938,0,Nicholas Breakspear Catholic School,ACC,108,104,2,3,99,28,67,2,2,2,2,96%,2%,3%,92%,26%,62%,2%,2%,2%,2%,18,18,0,0,18,8,10,0,0,0,0,100%,0%,0%,100%,44%,56%,0%,0%,0%,0%,90,86,2,3,81,20,57,2,2,2,2,96%,2%,3%,90%,22%,63%,2%,2%,2%,2%,68,97%,9,SUPP,59,SUPP,83,98%,11,100%,72,97%
