LA,ESTAB,URN,PERCTOT,PPERSABS10
919,3336,117434,3.6,2.2
919,3339,117435,4.2,6.7
919,3341,148493,6.1,14.7
919,3344,117437,6,17.8
919,3345,148494,5,12.8
919,3347,117439,6.3,11.9
919,3348,117440,5.9,18
919,3349,117441,4.9,10.9
919,3350,117442,7.2,16.3
919,3352,117443,6.6,18.4
919,3353,117444,6.9,20.8
919,3357,117445,5.8,19.5
919,3358,117446,6.8,21.4
919,3359,117447,4.8,7.1
919,3360,117448,5.6,16.7
919,3361,117449,5.8,17.3
919,3363,117451,6.6,20.4
919,3364,117452,8,22.8
919,3366,117453,13.2,36.5
919,3367,148495,6.5,18.7
919,3368,117455,8.9,35.8
919,3369,117456,6.6,20.8
919,3370,117457,7.5,22.1
919,3371,117458,6.8,17.2
919,3373,117459,5.3,8
919,3376,117460,5.7,12.9
919,3378,117461,9.5,29.1
919,3379,117462,5.1,7.9
919,3380,117463,6.4,22
919,3382,117464,5,14.5
919,3383,117465,4.8,9.7
919,3384,117466,6.7,18.6
919,3385,117467,5.2,8.2
919,3386,117468,5.1,9.5
919,3388,117469,4.9,11.9
919,3389,117470,5.6,13.6
919,3391,117471,6.2,14.1
919,3393,117472,6.7,19.1
919,3394,117473,7.3,22.2
919,3397,117474,3.6,3.9
919,3398,146859,5.8,11.6
919,3399,138322,5.4,17.1
919,3400,138354,4.8,5.5
919,3401,117478,4.2,8.2
919,3402,117479,5.2,9.3
919,3403,117480,4.6,8.9
919,3404,117481,3.8,7.8
919,3406,140238,3.1,3.8
919,3408,148496,6.5,20.1
919,3409,117484,5.4,12.8
919,3410,146922,6.7,22.2
919,3413,138316,7.3,22.8
919,3415,117488,4.1,5.2
919,3416,117489,4.6,9.3
919,3419,117490,6.3,12.1
919,3421,117491,4.3,6.8
919,3423,117492,7,21.6
919,3424,148498,5.5,15
919,3428,117495,6.2,15.8
919,3975,117496,5.3,7
919,3976,117497,10.1,33.8
919,3977,117498,6.9,20.3
919,3978,133773,7.2,23.3
919,3979,141851,5.5,14
919,3981,144907,5.7,11.5
919,3983,135083,6.7,17.9
919,3984,135084,8,29.7
919,3985,146903,6.5,17.7
919,3986,137351,6,14.2
919,3987,135221,8.7,26.3
919,3988,135222,8.4,31.3
919,3989,135223,7.5,28
919,3990,135224,7.7,26.6
919,3991,144909,7.6,25.6
919,3992,135528,6.2,15.8
919,4000,117499,7.5,19
919,4001,138747,9.9,31.3
919,4003,138582,6.4,15.7
919,4004,139416,14.6,55.6
919,4005,117500,8,23.8
919,4006,139873,8.3,29.3
919,4007,139662,10.7,35.4
919,4008,139154,6.6,17
919,4009,137288,8,24.6
919,4010,117504,9.1,24.5
919,4011,137038,9.5,32.5
919,4013,137985,8.3,32.7
919,4014,137847,6.2,14.9
919,4016,136608,10.4,33.1
919,4017,140037,7.4,19.7
919,4021,141004,22.1,69.1
919,4022,142051,9.3,32.1
919,4024,143131,8.1,27.3
919,4025,144402,7.7,21.8
919,4026,144623,9.8,32.2
919,4028,137270,5.3,13
919,4030,145890,6.4,14.6
919,4031,146305,14.4,46
919,4032,145430,11.1,36.6
919,4033,146440,11.5,37
919,4035,147535,6.7,17.8
919,4036,147785,8.8,27.8
919,4043,138286,6.7,14.7
919,4066,117518,8.6,23.1
919,4067,140294,8.1,22.1
919,4070,136973,7.1,16.3
919,4080,137110,8.7,25.6
919,4083,137339,8.6,25.3
919,4096,139036,7.5,21.3
919,4099,137757,6.7,17.7
919,4101,136396,6.4,15.7
919,4104,117530,8.1,25.4
919,4111,140049,9,27.8
919,4116,117534,9,26.5
919,4117,138484,11.2,37.9
919,4118,138632,9.6,28.9
919,4122,117537,10.6,30.6
919,4140,137656,8.9,25.6
919,4141,137002,9.5,28.9
919,4144,117541,4.3,4.9
919,4146,140249,9,28.9
919,4197,136609,5.9,13
919,4200,137637,9.5,30.2
919,4498,137090,6,15.2
919,4499,117552,9.1,30.7
919,4504,138352,9,29.5
919,4506,117554,8.4,26.9
919,4606,117555,11.8,44.2
919,4614,138356,10.7,38.4
919,4619,117557,8.7,27.1
919,4620,138106,10,41.3
919,4627,117559,5.5,13.3
919,4802,136922,7.8,19.6
919,5200,138292,5.9,18.8
919,5201,139507,5.7,12
919,5202,117562,7.1,20.3
919,5203,117563,6.2,13.2
919,5204,117564,7.8,28.4
919,5205,117565,5.5,11.4
919,5206,138215,6.1,16
919,5207,117567,4.9,9.8
919,5208,137861,10.3,39.6
919,5209,117569,7.3,15.2
919,5210,117570,5.8,14.4
919,5211,138288,6.7,14.4
919,5212,141898,5,10.5
919,5213,131456,6.1,10.5
919,5400,136606,6.3,14.3
919,5401,136276,6,14.4
919,5403,136289,7,20.2
919,5404,136899,5.8,17.7
919,5405,117577,4.9,9.2
919,5406,117578,8.7,25.1
919,5407,136554,7.9,26
919,5408,137872,9.7,27
919,5410,136877,7.5,19.8
919,5411,137224,12.4,43.8
919,5412,137938,6,15.8
919,5413,137895,5.9,18.7
919,5414,138042,9.4,32.9
919,5415,137532,7.6,23.4
919,5416,137156,10.2,40.6
919,5417,137922,7.2,16.8
919,5418,137914,7.8,23.3
919,5419,147246,9.9,34.5
919,5420,140786,6.2,14.1
919,5421,136901,7.6,27.3
919,5422,148499,7.7,24.7
919,5423,138360,10.3,37.1
919,5425,145297,7.1,20.6
919,5426,136607,11,37.5
919,5427,136482,5.5,10
919,6905,135876,11.2,35
919,7003,147679,16.1,50.8
919,7004,141251,11.8,34.7
919,7006,117665,12.6,55.6
919,7007,138485,7.4,19.1
919,7008,117667,8.7,22.8
919,7010,117669,10,25.7
919,7011,117670,11,33.6
919,7012,117671,12.2,34.4
919,7013,117672,12,35.3
919,7014,142257,16,47.6
919,7016,117674,26.5,67.7
919,7019,117676,7.6,24
919,7022,117679,16.4,62
919,7023,117680,11.5,37.2
919,7024,117681,13.6,40
919,7025,117682,11.6,37.6
919,7026,117683,10.8,27.8
919,7028,117684,10.7,33.3
919,7032,117685,11.7,31.2
919,7033,117686,39.5,76.8
919,7034,143604,7.9,23.3
919,7041,137997,9.3,30.8
919,7042,117690,10.6,40.1
919,7043,117691,18,53.6
919,7044,130362,11.2,38.5
919,7047,131319,13.5,38.6
919,PRI,,6.1,16.4
919,SEC,,8.3,25.3
919,SPE,,12.9,37.4
NAT,PRI,,6.3,17.7
NAT,SEC,,9,27.7
NAT,SPE,,13.2,40.4
